customer_id,age,income_band,loyalty_tier,city,customer_value_factor,frequency,total_units,monetary,average_order_value,average_discount,cluster,segment
C0067,60,Medium,Bronze,Kannur,0.9,77,299,5289418.26,68693.74363636364,0.006116883116883117,0,VIP
C0068,35,High,Platinum,Malappuram,1.755,69,248,4014555.96,58181.970434782605,0.03381159420289855,1,Low Value
C0069,21,Low,Silver,Thrissur,0.85,60,214,3718810.5100000002,61980.17516666667,0.025616666666666666,1,Low Value
C0070,40,Medium,Silver,Kochi,1.0,78,257,4201847.95,53869.84551282052,0.01319230769230769,3,Regular
C0071,55,Medium,Platinum,Kochi,1.3,80,243,5483872.34,68548.40424999999,0.011375,0,VIP
C0072,26,Medium,Bronze,Thrissur,0.9,59,189,3561037.21,60356.56288135593,0.019033898305084746,1,Low Value
C0073,39,Low,Bronze,Kannur,0.765,76,248,4879290.49,64201.19065789474,0.013657894736842105,3,Regular
C0074,24,Low,Silver,Kannur,0.85,61,244,4995616.15,81895.34672131148,0.011344262295081968,2,High Value
C0075,50,Medium,Bronze,Kozhikode,0.9,72,242,4809686.0,66801.19444444444,0.020180555555555556,2,High Value
C0076,40,Medium,Bronze,Kochi,0.9,52,197,2597026.63,49942.81980769231,0.014634615384615385,1,Low Value
C0077,33,Medium,Bronze,Kannur,0.9,83,309,4784246.91,57641.52903614458,0.004301204819277108,3,Regular
C0078,28,Medium,Bronze,Thrissur,0.9,66,232,3901413.93,59112.332272727275,0.012878787878787878,1,Low Value
C0079,44,Medium,Gold,Kozhikode,1.15,85,283,5270602.6,62007.089411764704,0.021729411764705883,0,VIP
C0080,49,Medium,Silver,Thrissur,1.0,82,264,5729047.28,69866.43024390245,0.01681707317073171,0,VIP
C0081,62,Medium,Bronze,Kannur,0.9,81,312,5112241.05,63114.08703703703,0.01654320987654321,0,VIP
C0082,38,Low,Silver,Kozhikode,0.85,75,296,6404344.17,85391.2556,0.009373333333333334,0,VIP
C0083,25,Medium,Silver,Thrissur,1.0,71,236,4972481.89,70034.9561971831,0.011816901408450703,2,High Value
C0084,57,Medium,Silver,Thrissur,1.0,87,329,5795535.55,66615.35114942529,0.012149425287356321,0,VIP
C0085,47,Low,Platinum,Malappuram,1.105,77,252,5499011.23,71415.73025974026,0.013649350649350649,0,VIP
C0086,50,Medium,Platinum,Thrissur,1.3,72,221,5293146.81,73515.92791666667,0.013222222222222222,2,High Value
C0087,22,Medium,Bronze,Kozhikode,0.9,73,233,3399300.16,46565.75561643836,0.019452054794520546,1,Low Value
C0088,32,Low,Bronze,Kannur,0.765,66,232,4293568.03,65054.061060606065,0.028999999999999998,2,High Value
C0089,54,Medium,Silver,Kannur,1.0,70,219,4862012.65,69457.32357142858,0.013014285714285714,2,High Value
C0090,57,Medium,Silver,Kannur,1.0,75,260,3868664.0,51582.18666666667,0.0029066666666666668,3,Regular
C0091,38,Medium,Silver,Thrissur,1.0,77,276,4709980.97,61168.58402597402,0.015493506493506495,3,Regular
C0092,55,Medium,Silver,Kochi,1.0,87,299,5096306.58,58578.23655172414,0.02391954022988506,0,VIP
C0093,57,Medium,Silver,Kozhikode,1.0,84,260,3712176.25,44192.57440476191,0.012380952380952381,3,Regular
C0094,36,Medium,Bronze,Malappuram,0.9,84,253,5303184.63,63133.150357142855,0.01275,0,VIP
C0095,60,Medium,Bronze,Kannur,0.9,81,293,5990233.85,73953.50432098765,0.011629629629629629,0,VIP
C0096,31,Medium,Bronze,Malappuram,0.9,83,278,5155095.05,62109.57891566265,0.014289156626506023,0,VIP
C0097,29,Medium,Bronze,Malappuram,0.9,65,233,3290825.61,50628.086307692305,0.01616923076923077,1,Low Value
C0098,50,Medium,Bronze,Kochi,0.9,73,270,6197175.08,84892.80931506849,0.013452054794520548,0,VIP
C0099,47,Medium,Gold,Thrissur,1.15,80,271,4730906.0,59136.325,0.0194625,3,Regular
C0100,24,Medium,Bronze,Kozhikode,0.9,71,238,3621378.71,51005.33394366197,0.013394366197183098,1,Low Value
C0101,57,Medium,Bronze,Kochi,0.9,70,248,4919689.16,70281.27371428572,0.01962857142857143,2,High Value
C0102,27,High,Silver,Kannur,1.35,91,327,6637673.1,72941.46263736264,0.009274725274725275,0,VIP
C0103,55,High,Gold,Kochi,1.5525,70,274,4695365.78,67076.65400000001,0.014285714285714285,2,High Value
C0104,18,Medium,Bronze,Kochi,0.9,65,231,3934322.92,60528.04492307692,0.01603076923076923,1,Low Value
C0105,55,Medium,Gold,Kochi,1.15,72,265,3804805.11,52844.51541666666,0.017611111111111112,3,Regular
C0106,54,Medium,Platinum,Malappuram,1.3,56,197,2725315.64,48666.35071428572,0.01780357142857143,1,Low Value
C0107,54,Medium,Silver,Kochi,1.0,78,262,4949849.99,63459.61525641026,0.027730769230769232,0,VIP
C0108,49,High,Silver,Kannur,1.35,69,228,4316244.3,62554.2652173913,0.01615942028985507,2,High Value
C0109,40,Medium,Bronze,Malappuram,0.9,53,174,2820873.27,53224.02396226415,0.025566037735849055,1,Low Value
C0110,51,Low,Platinum,Kozhikode,1.105,65,225,4731447.46,72791.49938461538,0.015169230769230768,2,High Value
C0111,31,Low,Bronze,Kochi,0.765,66,238,2603722.9,39450.34696969697,0.024409090909090908,1,Low Value
C0112,54,High,Platinum,Malappuram,1.755,64,189,3968536.83,62008.38796875,0.009234375,1,Low Value
C0113,44,Low,Silver,Kochi,0.85,63,215,3609832.42,57298.9273015873,0.013349206349206348,1,Low Value
C0114,39,Medium,Bronze,Kannur,0.9,74,262,3975439.31,53722.152837837835,0.020310810810810813,3,Regular
C0115,41,Medium,Bronze,Kozhikode,0.9,86,287,4641875.52,53975.29674418604,0.011,3,Regular
C0116,44,Low,Silver,Malappuram,0.85,70,231,4847006.96,69242.95657142857,0.015042857142857143,2,High Value
C0117,19,Medium,Silver,Kochi,1.0,93,327,5532406.14,59488.238064516125,0.01289247311827957,0,VIP
C0118,24,Medium,Bronze,Kochi,0.9,73,246,4528124.16,62029.098082191784,0.01678082191780822,3,Regular
C0119,29,Low,Gold,Kozhikode,0.9775,61,221,3753512.77,61532.9962295082,0.009147540983606558,1,Low Value
C0120,23,High,Gold,Kochi,1.5525,67,229,2831054.03,42254.53776119403,0.019238805970149254,1,Low Value
C0121,38,High,Silver,Thrissur,1.35,76,273,3786990.4699999997,49828.82197368421,0.015039473684210526,3,Regular
C0122,49,Medium,Silver,Kannur,1.0,74,245,4813390.84,65045.82216216216,0.012,2,High Value
C0123,48,Low,Bronze,Kannur,0.765,77,271,5206479.41,67616.61571428571,0.028389610389610388,0,VIP
C0124,40,Medium,Gold,Kozhikode,1.15,82,320,4797267.96,58503.26780487805,0.015865853658536586,3,Regular
C0125,58,Low,Bronze,Thrissur,0.765,70,280,3912935.66,55899.08085714286,0.012614285714285715,3,Regular
C0126,44,Medium,Gold,Malappuram,1.15,71,259,5206722.09,73334.11394366197,0.017943661971830987,2,High Value
C0127,21,High,Bronze,Kochi,1.215,67,221,3451198.26,51510.42179104477,0.023417910447761193,1,Low Value
C0128,53,High,Silver,Kochi,1.35,79,272,4287960.62,54277.98253164557,0.015000000000000001,3,Regular
C0129,45,Medium,Bronze,Malappuram,0.9,72,239,4546954.71,63152.14875,0.015208333333333332,2,High Value
C0130,47,Medium,Bronze,Malappuram,0.9,68,265,3999819.9,58820.88088235294,0.014499999999999999,3,Regular
C0131,44,Medium,Gold,Kochi,1.15,80,263,5675028.79,70937.859875,0.020050000000000002,0,VIP
C0132,44,Medium,Silver,Kannur,1.0,73,259,4961427.32,67964.75780821918,0.016945205479452056,2,High Value
C0133,22,Medium,Silver,Thrissur,1.0,75,253,4428743.48,59049.913066666675,0.02016,3,Regular
C0134,44,Medium,Platinum,Malappuram,1.3,83,333,5269474.93,63487.64975903614,0.024867469879518073,0,VIP
C0135,55,Low,Platinum,Kannur,1.105,73,224,5070013.34,69452.23753424657,0.018547945205479453,2,High Value
C0136,32,Low,Gold,Kannur,0.9775,83,277,4785040.98,57651.09614457832,0.0243855421686747,3,Regular
C0137,46,Medium,Bronze,Kannur,0.9,64,214,4016477.8,62757.465625,0.0155,1,Low Value
C0138,19,Low,Silver,Kozhikode,0.85,64,247,4183703.69,65370.37015625,0.025343749999999998,2,High Value
C0139,34,Low,Gold,Kannur,0.9775,85,292,5878404.99,69157.70576470588,0.030882352941176472,0,VIP
C0140,38,High,Bronze,Malappuram,1.215,81,310,7016614.96,86624.87604938271,0.011901234567901235,0,VIP
C0141,64,High,Bronze,Thrissur,1.215,77,261,5178151.0200000005,67248.71454545455,0.019376623376623377,0,VIP
C0142,28,Medium,Gold,Kannur,1.15,59,202,4358768.97,73877.44016949151,0.009728813559322032,2,High Value
C0143,30,High,Silver,Kochi,1.35,65,238,3742662.2800000003,57579.419692307696,0.010846153846153846,1,Low Value
C0144,37,High,Silver,Malappuram,1.35,59,234,3420450.6,57973.73898305085,0.018457627118644068,1,Low Value
C0145,64,Low,Platinum,Kochi,1.105,83,285,5373348.22,64739.135180722886,0.006602409638554217,0,VIP
C0146,58,Medium,Silver,Kozhikode,1.0,85,303,5471937.5,64375.73529411765,0.025623529411764705,0,VIP
C0147,19,Medium,Silver,Malappuram,1.0,73,235,3886943.85,53245.80616438356,0.01984931506849315,1,Low Value
C0148,28,Low,Bronze,Kannur,0.765,83,340,5642777.02,67985.26530120481,0.02639759036144578,0,VIP
C0149,56,Medium,Silver,Kannur,1.0,72,283,5961324.98,82796.18027777778,0.017333333333333333,0,VIP
C0150,20,Medium,Bronze,Kozhikode,0.9,64,252,3533984.73,55218.51140625,0.0176875,1,Low Value
C0151,58,Medium,Gold,Kozhikode,1.15,84,282,6138141.99,73073.11892857144,0.004928571428571429,0,VIP
C0152,31,Low,Gold,Malappuram,0.9775,81,321,5075094.35,62655.485802469135,0.01954320987654321,0,VIP
C0153,61,Low,Bronze,Kannur,0.765,82,299,4845984.65,59097.37378048781,0.009378048780487805,3,Regular
C0154,31,High,Bronze,Kannur,1.215,58,217,4766664.34,82183.86793103447,0.0046206896551724145,2,High Value
C0155,38,Low,Gold,Kozhikode,0.9775,69,260,4481539.54,64949.8484057971,0.013753623188405797,2,High Value
C0156,49,Low,Bronze,Kochi,0.765,74,293,3957362.24,53477.86810810811,0.010864864864864866,3,Regular
C0157,23,Medium,Silver,Thrissur,1.0,73,242,4662100.08,63864.38465753425,0.020191780821917808,2,High Value
C0158,44,Medium,Silver,Kozhikode,1.0,80,284,4629791.92,57872.399,0.022275,3,Regular
C0159,41,Medium,Silver,Kochi,1.0,86,291,5860432.88,68144.56837209302,0.011825581395348837,0,VIP
C0160,54,Medium,Bronze,Kochi,0.9,89,299,5307422.29,59633.958314606745,0.0209438202247191,0,VIP
C0161,64,Low,Silver,Malappuram,0.85,69,209,4019612.8,58255.25797101449,0.02891304347826087,1,Low Value
C0162,49,Low,Bronze,Kozhikode,0.765,81,291,5413929.21,66838.63222222222,0.02093827160493827,0,VIP
C0163,37,High,Silver,Malappuram,1.35,81,285,4883060.97,60284.70333333333,0.021209876543209875,3,Regular
C0164,37,Medium,Bronze,Kozhikode,0.9,60,206,4182173.63,69702.89383333334,0.021166666666666667,2,High Value
C0165,37,Medium,Silver,Thrissur,1.0,63,215,4271916.29,67808.19507936508,0.009523809523809523,2,High Value
C0166,56,Medium,Silver,Thrissur,1.0,69,215,3802685.92,55111.390144927536,0.011391304347826087,1,Low Value
C0167,33,Medium,Bronze,Malappuram,0.9,66,266,3874488.91,58704.377424242426,0.009954545454545456,3,Regular
C0168,25,Low,Bronze,Kochi,0.765,64,228,3071592.6,47993.634375,0.026953125,1,Low Value
C0169,33,Medium,Bronze,Malappuram,0.9,69,265,4383915.32,63535.004637681166,0.01636231884057971,2,High Value
C0170,19,Medium,Bronze,Thrissur,0.9,85,274,4481345.39,52721.71047058823,0.010788235294117647,3,Regular
C0171,22,Medium,Bronze,Kozhikode,0.9,76,260,4823013.09,63460.69855263158,0.015671052631578947,3,Regular
C0172,22,High,Platinum,Kozhikode,1.755,60,193,3471936.63,57865.610499999995,0.008,1,Low Value
C0173,54,Medium,Silver,Malappuram,1.0,60,219,3688515.67,61475.26116666666,0.014,1,Low Value
C0174,51,Medium,Gold,Kozhikode,1.15,81,282,4719231.14,58262.11283950617,0.009975308641975308,3,Regular
C0175,50,High,Platinum,Malappuram,1.755,75,258,4749808.91,63330.78546666667,0.0058133333333333335,3,Regular
C0176,39,Medium,Bronze,Kozhikode,0.9,74,253,5854114.1,79109.65,0.0314054054054054,0,VIP
C0177,51,High,Silver,Kozhikode,1.35,72,268,3893406.95,54075.09652777778,0.007902777777777778,3,Regular
C0178,25,Medium,Gold,Thrissur,1.15,83,284,5363630.31,64622.05192771084,0.010433734939759036,0,VIP
C0179,60,High,Silver,Malappuram,1.35,88,268,5155906.91,58589.85125,0.021170454545454544,0,VIP
C0180,41,Medium,Silver,Malappuram,1.0,84,277,5473116.67,65156.15083333333,0.018178571428571426,0,VIP
C0181,62,Medium,Silver,Thrissur,1.0,75,264,4489108.13,59854.77506666666,0.01957333333333333,3,Regular
C0182,25,Medium,Bronze,Kozhikode,0.9,71,244,3615954.0,50928.92957746479,0.016619718309859154,1,Low Value
C0183,41,Low,Silver,Kochi,0.85,70,218,3252356.12,46462.230285714286,0.014257142857142857,1,Low Value
C0184,50,Medium,Platinum,Kannur,1.3,76,249,5873979.14,77289.1992105263,0.012763157894736843,0,VIP
C0185,41,High,Platinum,Kochi,1.755,68,242,4573349.24,67255.13588235294,0.014058823529411764,2,High Value
C0186,38,Medium,Bronze,Malappuram,0.9,66,253,4814702.16,72950.03272727273,0.014803030303030302,2,High Value
C0187,25,Low,Gold,Kozhikode,0.9775,58,226,5029873.17,86721.95120689656,0.012327586206896552,2,High Value
C0188,35,Medium,Bronze,Kozhikode,0.9,79,300,5420210.2299999995,68610.25607594936,0.010784810126582278,0,VIP
C0189,29,Low,Gold,Kochi,0.9775,82,293,4649200.26,56697.56414634146,0.01574390243902439,3,Regular
C0190,32,Low,Bronze,Kannur,0.765,77,299,5073459.31,65889.08194805194,0.019285714285714285,0,VIP
C0191,50,High,Platinum,Malappuram,1.755,71,236,5666133.8,79804.7014084507,0.010507042253521127,2,High Value
C0192,47,Medium,Gold,Kozhikode,1.15,67,218,4823957.7,71999.36865671643,0.010149253731343285,2,High Value
C0193,46,Medium,Bronze,Thrissur,0.9,63,227,3876106.27,61525.49634920635,0.025777777777777778,1,Low Value
C0194,35,Medium,Bronze,Kochi,0.9,60,221,4004848.4899999998,66747.47483333333,0.025833333333333333,1,Low Value
C0195,63,Low,Gold,Malappuram,0.9775,60,183,3750736.03,62512.267166666665,0.007699999999999999,1,Low Value
C0196,22,Medium,Bronze,Malappuram,0.9,72,269,4634079.94,64362.221388888895,0.021,3,Regular
C0197,34,Medium,Silver,Malappuram,1.0,78,272,4161183.8,53348.510256410256,0.01312820512820513,3,Regular
C0198,23,Medium,Gold,Kochi,1.15,80,294,5672251.06,70903.13824999999,0.013212499999999999,0,VIP
C0199,33,High,Silver,Kannur,1.35,61,223,2318238.2800000003,38003.906229508204,0.011065573770491804,1,Low Value
C0200,63,Medium,Bronze,Kozhikode,0.9,78,296,4963789.69,63638.32935897436,0.014076923076923079,0,VIP
C0201,35,Medium,Silver,Thrissur,1.0,76,285,5122032.36,67395.16263157895,0.005447368421052632,0,VIP
C0202,60,Medium,Bronze,Thrissur,0.9,69,225,4076509.7800000003,59079.85188405798,0.00663768115942029,1,Low Value
C0203,41,High,Platinum,Kozhikode,1.755,74,243,5738642.09,77549.21743243243,0.015743243243243242,0,VIP
C0204,50,Medium,Bronze,Kochi,0.9,82,270,5427843.05,66193.20792682927,0.026597560975609755,0,VIP
C0205,39,High,Bronze,Kozhikode,1.215,79,292,4060074.64,51393.34987341773,0.006746835443037975,3,Regular
C0206,30,Medium,Bronze,Kannur,0.9,78,298,4895638.86,62764.600769230776,0.0077820512820512815,3,Regular
C0207,53,High,Platinum,Kannur,1.755,63,215,4244894.68,67379.28063492064,0.006349206349206349,2,High Value
C0208,63,Low,Bronze,Kannur,0.765,67,215,3381328.76,50467.59343283582,0.007985074626865672,1,Low Value
C0209,30,Medium,Gold,Kozhikode,1.15,59,214,3951434.04,66973.45830508474,0.015186440677966102,2,High Value
C0210,54,Medium,Gold,Thrissur,1.15,77,247,5655652.09,73450.02714285714,0.011,0,VIP
C0211,30,Medium,Gold,Kochi,1.15,71,238,4097065.87,57705.15309859155,0.019014084507042256,1,Low Value
C0212,51,Medium,Platinum,Thrissur,1.3,64,222,3191645.09,49869.45453125,0.0045,1,Low Value
C0213,55,High,Gold,Malappuram,1.5525,75,250,4122476.32,54966.35093333333,0.027293333333333336,3,Regular
C0214,39,High,Platinum,Thrissur,1.755,65,216,3957357.96,60882.43015384615,0.010676923076923079,1,Low Value
C0215,52,Medium,Bronze,Thrissur,0.9,88,305,5796439.12,65868.62636363636,0.010886363636363637,0,VIP
C0216,30,Medium,Gold,Kannur,1.15,81,303,5701818.0200000005,70392.8150617284,0.010901234567901234,0,VIP
C0217,21,Medium,Silver,Malappuram,1.0,70,222,4469538.94,63850.556285714294,0.012057142857142857,2,High Value
C0218,22,Medium,Silver,Kozhikode,1.0,48,169,3224499.7399999998,67177.07791666666,0.019791666666666666,1,Low Value
C0219,39,Low,Gold,Malappuram,0.9775,79,239,5780241.66,73167.61594936709,0.010253164556962025,0,VIP
C0220,60,Low,Platinum,Kochi,1.105,53,151,2848247.63,53740.52132075471,0.012849056603773586,1,Low Value
C0221,23,Medium,Gold,Kochi,1.15,80,282,6013267.25,75165.840625,0.0227,0,VIP
C0222,39,Medium,Silver,Malappuram,1.0,67,262,3396183.47,50689.305522388066,0.008477611940298509,3,Regular
C0223,51,High,Silver,Kannur,1.35,64,212,3929487.57,61398.24328125,0.029124999999999998,1,Low Value
C0224,27,Medium,Bronze,Malappuram,0.9,62,212,3575128.06,57663.35580645161,0.025096774193548388,1,Low Value
C0225,51,High,Bronze,Thrissur,1.215,75,249,3693062.1,49240.828,0.013933333333333332,3,Regular
C0226,32,Medium,Bronze,Kochi,0.9,73,305,3881386.92,53169.68383561644,0.0203013698630137,3,Regular
C0227,56,Medium,Bronze,Malappuram,0.9,66,212,3881823.86,58815.51303030303,0.011772727272727273,1,Low Value
C0228,45,Low,Bronze,Thrissur,0.765,64,221,3810705.09,59542.26703125,0.019140625,1,Low Value
C0229,43,Medium,Gold,Kozhikode,1.15,67,244,4624320.47,69019.70850746268,0.017164179104477612,2,High Value
C0230,26,High,Silver,Kochi,1.35,76,281,4580983.14,60276.09394736842,0.029171052631578948,3,Regular
C0231,39,High,Platinum,Kochi,1.755,69,226,4546465.2,65890.8,0.017739130434782608,2,High Value
C0232,58,High,Silver,Kannur,1.35,74,255,4504409.75,60870.40202702703,0.01472972972972973,3,Regular
C0233,18,Low,Bronze,Thrissur,0.765,59,180,3387574.09,57416.509999999995,0.01735593220338983,1,Low Value
C0234,53,Medium,Bronze,Kozhikode,0.9,78,270,5583293.35,71580.68397435897,0.007051282051282052,0,VIP
C0235,41,Low,Bronze,Kozhikode,0.765,68,251,4149517.39,61022.314558823535,0.016808823529411765,2,High Value
C0236,51,Low,Platinum,Kochi,1.105,76,249,3935038.19,51776.81828947368,0.01618421052631579,3,Regular
C0237,49,Medium,Bronze,Kannur,0.9,71,200,3869244.2399999998,54496.39774647887,0.015957746478873238,1,Low Value
C0238,38,Medium,Silver,Kochi,1.0,65,198,3805777.72,58550.42646153847,0.029107692307692307,1,Low Value
C0239,32,Medium,Platinum,Thrissur,1.3,54,174,2989577.95,55362.55462962963,0.006092592592592593,1,Low Value
C0240,47,High,Platinum,Kozhikode,1.755,63,242,5100366.65,80958.2007936508,0.006968253968253968,2,High Value
C0241,24,Medium,Bronze,Kozhikode,0.9,70,254,3866547.05,55236.38642857142,0.011728571428571428,3,Regular
C0242,45,High,Bronze,Kozhikode,1.215,70,275,5082287.66,72604.10942857144,0.018542857142857142,2,High Value
C0243,22,Low,Bronze,Kannur,0.765,66,264,4585000.35,69469.70227272727,0.027166666666666665,2,High Value
C0244,48,Low,Bronze,Kochi,0.765,69,222,4406950.13,63868.84246376812,0.015884057971014495,2,High Value
C0245,47,Medium,Bronze,Kozhikode,0.9,86,297,4595600.29,53437.2126744186,0.014825581395348836,3,Regular
