customer_id,age,income_band,loyalty_tier,city,customer_value_factor
C0119,29,Low,Gold,Kozhikode,0.9774999999999999
C0120,23,High,Gold,Kochi,1.5525
C0121,38,High,Silver,Thrissur,1.35
C0122,49,Medium,Silver,Kannur,1.0
C0123,48,Low,Bronze,Kannur,0.765
C0124,40,Medium,Gold,Kozhikode,1.15
C0125,58,Low,Bronze,Thrissur,0.765
C0126,44,Medium,Gold,Malappuram,1.15
C0127,21,High,Bronze,Kochi,1.215
C0128,53,High,Silver,Kochi,1.35
C0129,45,Medium,Bronze,Malappuram,0.9
C0130,47,Medium,Bronze,Malappuram,0.9
C0131,44,Medium,Gold,Kochi,1.15
C0132,44,Medium,Silver,Kannur,1.0
C0133,22,Medium,Silver,Thrissur,1.0
C0134,44,Medium,Platinum,Malappuram,1.3
C0135,55,Low,Platinum,Kannur,1.105
C0136,32,Low,Gold,Kannur,0.9774999999999999
C0137,46,Medium,Bronze,Kannur,0.9
C0138,19,Low,Silver,Kozhikode,0.85
C0139,34,Low,Gold,Kannur,0.9774999999999999
C0140,38,High,Bronze,Malappuram,1.215
C0141,64,High,Bronze,Thrissur,1.215
C0142,28,Medium,Gold,Kannur,1.15
C0143,30,High,Silver,Kochi,1.35
C0144,37,High,Silver,Malappuram,1.35
C0145,64,Low,Platinum,Kochi,1.105
C0146,58,Medium,Silver,Kozhikode,1.0
C0147,19,Medium,Silver,Malappuram,1.0
C0148,28,Low,Bronze,Kannur,0.765
C0149,56,Medium,Silver,Kannur,1.0
C0150,20,Medium,Bronze,Kozhikode,0.9
C0151,58,Medium,Gold,Kozhikode,1.15
C0152,31,Low,Gold,Malappuram,0.9774999999999999
C0153,61,Low,Bronze,Kannur,0.765
C0154,31,High,Bronze,Kannur,1.215
C0155,38,Low,Gold,Kozhikode,0.9774999999999999
C0156,49,Low,Bronze,Kochi,0.765
C0157,23,Medium,Silver,Thrissur,1.0
C0158,44,Medium,Silver,Kozhikode,1.0
C0159,41,Medium,Silver,Kochi,1.0
C0160,54,Medium,Bronze,Kochi,0.9
C0161,64,Low,Silver,Malappuram,0.85
C0162,49,Low,Bronze,Kozhikode,0.765
C0163,37,High,Silver,Malappuram,1.35
C0164,37,Medium,Bronze,Kozhikode,0.9
C0165,37,Medium,Silver,Thrissur,1.0
C0166,56,Medium,Silver,Thrissur,1.0
C0167,33,Medium,Bronze,Malappuram,0.9
C0168,25,Low,Bronze,Kochi,0.765
C0169,33,Medium,Bronze,Malappuram,0.9
C0170,19,Medium,Bronze,Thrissur,0.9
C0171,22,Medium,Bronze,Kozhikode,0.9
C0172,22,High,Platinum,Kozhikode,1.7550000000000001
C0173,54,Medium,Silver,Malappuram,1.0
C0174,51,Medium,Gold,Kozhikode,1.15
C0175,50,High,Platinum,Malappuram,1.7550000000000001
C0176,39,Medium,Bronze,Kozhikode,0.9
C0177,51,High,Silver,Kozhikode,1.35
C0178,25,Medium,Gold,Thrissur,1.15
C0179,60,High,Silver,Malappuram,1.35
C0180,41,Medium,Silver,Malappuram,1.0
C0181,62,Medium,Silver,Thrissur,1.0
C0182,25,Medium,Bronze,Kozhikode,0.9
C0183,41,Low,Silver,Kochi,0.85
C0184,50,Medium,Platinum,Kannur,1.3
C0185,41,High,Platinum,Kochi,1.7550000000000001
C0186,38,Medium,Bronze,Malappuram,0.9
C0187,25,Low,Gold,Kozhikode,0.9774999999999999
C0188,35,Medium,Bronze,Kozhikode,0.9
C0189,29,Low,Gold,Kochi,0.9774999999999999
C0190,32,Low,Bronze,Kannur,0.765
C0191,50,High,Platinum,Malappuram,1.7550000000000001
C0192,47,Medium,Gold,Kozhikode,1.15
C0193,46,Medium,Bronze,Thrissur,0.9
C0194,35,Medium,Bronze,Kochi,0.9
C0195,63,Low,Gold,Malappuram,0.9774999999999999
C0196,22,Medium,Bronze,Malappuram,0.9
C0197,34,Medium,Silver,Malappuram,1.0
C0198,23,Medium,Gold,Kochi,1.15
C0199,33,High,Silver,Kannur,1.35
C0200,63,Medium,Bronze,Kozhikode,0.9
C0201,35,Medium,Silver,Thrissur,1.0
C0202,60,Medium,Bronze,Thrissur,0.9
C0203,41,High,Platinum,Kozhikode,1.7550000000000001
C0204,50,Medium,Bronze,Kochi,0.9
C0205,39,High,Bronze,Kozhikode,1.215
C0206,30,Medium,Bronze,Kannur,0.9
C0207,53,High,Platinum,Kannur,1.7550000000000001
C0208,63,Low,Bronze,Kannur,0.765
C0209,30,Medium,Gold,Kozhikode,1.15
C0210,54,Medium,Gold,Thrissur,1.15
C0211,30,Medium,Gold,Kochi,1.15
C0212,51,Medium,Platinum,Thrissur,1.3
C0213,55,High,Gold,Malappuram,1.5525
C0214,39,High,Platinum,Thrissur,1.7550000000000001
C0215,52,Medium,Bronze,Thrissur,0.9
C0216,30,Medium,Gold,Kannur,1.15
C0217,21,Medium,Silver,Malappuram,1.0
C0218,22,Medium,Silver,Kozhikode,1.0
C0219,39,Low,Gold,Malappuram,0.9774999999999999
C0220,60,Low,Platinum,Kochi,1.105
C0221,23,Medium,Gold,Kochi,1.15
C0222,39,Medium,Silver,Malappuram,1.0
C0223,51,High,Silver,Kannur,1.35
C0224,27,Medium,Bronze,Malappuram,0.9
C0225,51,High,Bronze,Thrissur,1.215
C0226,32,Medium,Bronze,Kochi,0.9
C0227,56,Medium,Bronze,Malappuram,0.9
C0228,45,Low,Bronze,Thrissur,0.765
C0229,43,Medium,Gold,Kozhikode,1.15
C0230,26,High,Silver,Kochi,1.35
C0231,39,High,Platinum,Kochi,1.7550000000000001
C0232,58,High,Silver,Kannur,1.35
C0233,18,Low,Bronze,Thrissur,0.765
C0234,53,Medium,Bronze,Kozhikode,0.9
C0235,41,Low,Bronze,Kozhikode,0.765
C0236,51,Low,Platinum,Kochi,1.105
C0237,49,Medium,Bronze,Kannur,0.9
C0238,38,Medium,Silver,Kochi,1.0
C0239,32,Medium,Platinum,Thrissur,1.3
C0240,47,High,Platinum,Kozhikode,1.7550000000000001
C0241,24,Medium,Bronze,Kozhikode,0.9
C0242,45,High,Bronze,Kozhikode,1.215
C0243,22,Low,Bronze,Kannur,0.765
C0244,48,Low,Bronze,Kochi,0.765
C0245,47,Medium,Bronze,Kozhikode,0.9
C0246,21,High,Silver,Kozhikode,1.35
C0247,53,Low,Gold,Kozhikode,0.9774999999999999
C0248,37,Medium,Silver,Kochi,1.0
C0249,54,Medium,Silver,Kannur,1.0
C0250,19,Low,Bronze,Kozhikode,0.765
C0251,26,Medium,Gold,Malappuram,1.15
C0252,41,High,Silver,Kozhikode,1.35
C0253,26,Medium,Gold,Kannur,1.15
C0254,33,Low,Platinum,Kozhikode,1.105
C0255,49,High,Bronze,Kozhikode,1.215
C0256,24,Medium,Bronze,Kozhikode,0.9
C0257,49,High,Bronze,Kozhikode,1.215
C0258,22,Medium,Silver,Kochi,1.0
C0259,26,Medium,Platinum,Thrissur,1.3
C0260,45,Medium,Bronze,Kochi,0.9
C0261,55,Medium,Gold,Kozhikode,1.15
C0262,26,High,Silver,Kozhikode,1.35
C0263,32,Low,Bronze,Kozhikode,0.765
C0264,61,Low,Bronze,Thrissur,0.765
C0265,64,Medium,Silver,Malappuram,1.0
C0266,45,Medium,Silver,Kannur,1.0
C0267,39,High,Silver,Kozhikode,1.35
C0268,34,High,Bronze,Kannur,1.215
C0269,46,Medium,Gold,Kochi,1.15
C0270,45,Medium,Bronze,Malappuram,0.9
C0271,31,Low,Platinum,Thrissur,1.105
C0272,19,Medium,Bronze,Malappuram,0.9
C0273,25,High,Bronze,Kannur,1.215
C0274,63,Medium,Silver,Kozhikode,1.0
C0275,37,Medium,Silver,Kochi,1.0
C0276,40,Medium,Silver,Thrissur,1.0
C0277,39,High,Silver,Kochi,1.35
C0278,54,Medium,Platinum,Thrissur,1.3
C0279,21,Low,Silver,Thrissur,0.85
C0280,21,Medium,Silver,Kannur,1.0
C0281,30,Low,Silver,Malappuram,0.85
C0282,40,Low,Bronze,Kannur,0.765
C0283,49,Low,Silver,Kochi,0.85
C0284,41,Medium,Bronze,Malappuram,0.9
C0285,38,Medium,Silver,Kochi,1.0
C0286,62,Medium,Bronze,Thrissur,0.9
C0287,25,Medium,Platinum,Thrissur,1.3
C0288,44,High,Silver,Kannur,1.35
C0289,43,Medium,Gold,Thrissur,1.15
C0290,40,Medium,Silver,Kozhikode,1.0
C0291,55,Medium,Bronze,Kochi,0.9
C0292,30,High,Gold,Kannur,1.5525
C0293,62,Low,Silver,Malappuram,0.85
C0294,33,Medium,Gold,Kochi,1.15
C0295,43,High,Silver,Kannur,1.35
C0296,42,Medium,Silver,Kannur,1.0
C0297,57,Medium,Gold,Malappuram,1.15
C0298,38,Medium,Silver,Thrissur,1.0
C0299,31,Medium,Bronze,Kochi,0.9
C0300,19,Medium,Silver,Kochi,1.0
C0301,35,Low,Silver,Kozhikode,0.85
C0302,56,Medium,Platinum,Thrissur,1.3
C0303,18,Low,Bronze,Kochi,0.765
C0304,60,High,Silver,Kochi,1.35
C0305,43,Medium,Gold,Thrissur,1.15
C0306,24,Medium,Silver,Thrissur,1.0
C0307,32,Medium,Gold,Thrissur,1.15
C0308,44,Medium,Silver,Thrissur,1.0
C0309,32,Medium,Bronze,Kannur,0.9
C0310,23,Medium,Gold,Thrissur,1.15
C0311,49,High,Bronze,Malappuram,1.215
C0312,49,Medium,Bronze,Kannur,0.9
C0313,23,High,Silver,Kozhikode,1.35
C0314,31,High,Gold,Kochi,1.5525
C0315,29,Medium,Gold,Thrissur,1.15
C0316,48,Low,Bronze,Kozhikode,0.765
C0317,52,Medium,Bronze,Kannur,0.9
C0318,52,Low,Platinum,Malappuram,1.105
C0319,62,Medium,Bronze,Kannur,0.9
C0320,54,High,Bronze,Kochi,1.215
C0321,33,Medium,Bronze,Thrissur,0.9
C0322,23,Medium,Silver,Malappuram,1.0
C0323,46,Low,Gold,Malappuram,0.9774999999999999
C0324,61,High,Gold,Kozhikode,1.5525
C0325,63,Low,Gold,Kannur,0.9774999999999999
C0326,28,Low,Bronze,Kozhikode,0.765
C0327,29,Low,Bronze,Kannur,0.765
C0328,19,Low,Silver,Malappuram,0.85
C0329,24,Medium,Bronze,Kochi,0.9
C0330,44,Medium,Bronze,Kannur,0.9
C0331,43,Medium,Bronze,Kochi,0.9
C0332,35,Low,Bronze,Kozhikode,0.765
C0333,32,Low,Silver,Kannur,0.85
C0334,57,Medium,Gold,Kannur,1.15
C0335,39,Low,Bronze,Kannur,0.765
C0336,55,Medium,Silver,Malappuram,1.0
C0337,63,Low,Gold,Thrissur,0.9774999999999999
C0338,32,Medium,Gold,Kozhikode,1.15
C0339,27,Medium,Gold,Thrissur,1.15
C0340,62,Medium,Silver,Malappuram,1.0
C0341,47,Low,Gold,Kochi,0.9774999999999999
C0342,31,Low,Bronze,Malappuram,0.765
C0343,47,High,Bronze,Malappuram,1.215
C0344,42,Low,Bronze,Kozhikode,0.765
C0345,60,Medium,Silver,Kozhikode,1.0
C0346,30,Medium,Bronze,Malappuram,0.9
C0347,64,Medium,Bronze,Kochi,0.9
C0348,61,Medium,Gold,Kochi,1.15
C0349,26,Medium,Bronze,Thrissur,0.9
C0350,25,High,Bronze,Kozhikode,1.215
C0351,43,Medium,Bronze,Thrissur,0.9
C0352,20,Medium,Silver,Malappuram,1.0
C0353,32,Low,Bronze,Malappuram,0.765
C0354,38,Medium,Bronze,Malappuram,0.9
C0355,63,Medium,Bronze,Malappuram,0.9
C0356,64,Low,Gold,Kannur,0.9774999999999999
C0357,25,Medium,Platinum,Kannur,1.3
C0358,59,High,Silver,Kozhikode,1.35
C0359,22,Low,Silver,Thrissur,0.85
C0360,53,Medium,Gold,Kannur,1.15
C0361,57,Medium,Platinum,Kochi,1.3
C0362,59,Low,Silver,Thrissur,0.85
C0363,28,Low,Gold,Malappuram,0.9774999999999999
C0364,59,Low,Gold,Kannur,0.9774999999999999
C0365,23,High,Gold,Malappuram,1.5525
C0366,42,Low,Silver,Kannur,0.85
C0367,40,Low,Bronze,Kochi,0.765
C0368,32,Low,Bronze,Kochi,0.765
C0369,19,Low,Silver,Kannur,0.85
C0370,54,Medium,Silver,Malappuram,1.0
C0371,33,Low,Silver,Malappuram,0.85
C0372,49,Medium,Silver,Kochi,1.0
C0373,37,Medium,Silver,Kozhikode,1.0
C0374,35,High,Gold,Kannur,1.5525
C0375,59,Low,Bronze,Kozhikode,0.765
C0376,22,High,Bronze,Malappuram,1.215
C0377,52,Medium,Gold,Kozhikode,1.15
C0378,53,Low,Gold,Kozhikode,0.9774999999999999
C0379,35,Medium,Platinum,Kochi,1.3
C0380,30,High,Gold,Kannur,1.5525
C0381,18,Medium,Gold,Kannur,1.15
C0382,62,High,Bronze,Kochi,1.215
C0383,62,Medium,Silver,Kozhikode,1.0
C0384,29,Medium,Bronze,Malappuram,0.9
C0385,19,High,Silver,Kozhikode,1.35
C0386,23,Medium,Platinum,Thrissur,1.3
C0387,21,High,Bronze,Kozhikode,1.215
C0388,57,Medium,Silver,Kochi,1.0
C0389,59,Medium,Bronze,Kozhikode,0.9
C0390,25,Medium,Bronze,Malappuram,0.9
C0391,53,Low,Bronze,Kochi,0.765
C0392,26,Medium,Bronze,Kannur,0.9
C0393,35,Medium,Platinum,Kochi,1.3
C0394,46,Low,Silver,Kochi,0.85
C0395,51,Low,Gold,Malappuram,0.9774999999999999
C0396,59,Medium,Silver,Malappuram,1.0
C0397,20,Low,Bronze,Kozhikode,0.765
C0398,27,Low,Bronze,Kozhikode,0.765
C0399,31,Medium,Gold,Kochi,1.15
C0400,32,Medium,Bronze,Thrissur,0.9
C0401,64,Medium,Gold,Kozhikode,1.15
C0402,54,Medium,Bronze,Kochi,0.9
C0403,33,High,Silver,Kozhikode,1.35
C0404,63,Medium,Gold,Kannur,1.15
C0405,41,Low,Bronze,Kozhikode,0.765
C0406,41,Low,Bronze,Kannur,0.765
C0407,38,Medium,Platinum,Kozhikode,1.3
C0408,24,Low,Bronze,Kochi,0.765
C0409,61,Medium,Silver,Kozhikode,1.0
C0410,18,High,Silver,Kozhikode,1.35
C0411,26,Low,Bronze,Kochi,0.765
C0412,28,Low,Gold,Malappuram,0.9774999999999999
C0413,31,High,Gold,Kozhikode,1.5525
C0414,24,Medium,Bronze,Thrissur,0.9
C0415,18,Low,Gold,Malappuram,0.9774999999999999
C0416,49,High,Bronze,Malappuram,1.215
C0417,63,High,Bronze,Malappuram,1.215
C0418,23,Medium,Silver,Kochi,1.0
C0419,31,Medium,Platinum,Thrissur,1.3
C0420,41,Medium,Bronze,Kochi,0.9
C0421,61,Low,Bronze,Thrissur,0.765
C0422,50,Medium,Silver,Kannur,1.0
C0423,54,Medium,Gold,Thrissur,1.15
C0424,45,Medium,Bronze,Malappuram,0.9
C0425,37,High,Bronze,Kozhikode,1.215
C0426,27,Low,Gold,Kannur,0.9774999999999999
C0427,58,Medium,Bronze,Kozhikode,0.9
C0428,55,Low,Bronze,Malappuram,0.765
C0429,19,High,Bronze,Thrissur,1.215
C0430,51,Medium,Silver,Kannur,1.0
C0431,21,Medium,Silver,Kannur,1.0
C0432,52,Medium,Gold,Kochi,1.15
C0433,56,Medium,Silver,Kannur,1.0
C0434,24,Medium,Silver,Kochi,1.0
C0435,38,Medium,Platinum,Malappuram,1.3
C0436,23,Medium,Silver,Kannur,1.0
C0437,44,Medium,Silver,Thrissur,1.0
C0438,61,High,Platinum,Kannur,1.7550000000000001
C0439,21,Medium,Bronze,Kozhikode,0.9
C0440,36,Medium,Gold,Kozhikode,1.15
C0441,63,Low,Gold,Kozhikode,0.9774999999999999
C0442,32,Medium,Bronze,Kozhikode,0.9
C0443,24,Medium,Silver,Thrissur,1.0
C0444,40,Medium,Bronze,Malappuram,0.9
C0445,41,Low,Bronze,Thrissur,0.765
C0446,49,High,Silver,Malappuram,1.35
C0447,32,Medium,Bronze,Kozhikode,0.9
C0448,62,Medium,Gold,Kochi,1.15
C0449,42,Low,Gold,Malappuram,0.9774999999999999
C0450,31,High,Gold,Kannur,1.5525
C0451,63,Low,Bronze,Kannur,0.765
C0452,61,Low,Bronze,Kozhikode,0.765
C0453,41,High,Bronze,Malappuram,1.215
C0454,19,High,Bronze,Thrissur,1.215
C0455,46,Low,Platinum,Thrissur,1.105
C0456,44,Medium,Silver,Kochi,1.0
C0457,24,Medium,Bronze,Malappuram,0.9
C0458,47,High,Gold,Kochi,1.5525
C0459,57,Medium,Bronze,Kochi,0.9
C0460,22,Medium,Bronze,Thrissur,0.9
C0461,51,Medium,Bronze,Kochi,0.9
C0462,24,Medium,Silver,Kozhikode,1.0
C0463,53,Medium,Gold,Malappuram,1.15
C0464,37,Medium,Bronze,Thrissur,0.9
C0465,18,Low,Gold,Malappuram,0.9774999999999999
C0466,63,High,Gold,Kochi,1.5525
C0467,25,High,Gold,Thrissur,1.5525
C0468,46,Medium,Bronze,Kannur,0.9
C0469,26,Low,Bronze,Kannur,0.765
C0470,61,Low,Gold,Thrissur,0.9774999999999999
C0471,52,Medium,Bronze,Malappuram,0.9
C0472,55,Low,Silver,Kannur,0.85
C0473,38,High,Gold,Malappuram,1.5525
C0474,39,Medium,Bronze,Kochi,0.9
C0475,47,Medium,Gold,Kannur,1.15
C0476,54,High,Platinum,Kozhikode,1.7550000000000001
C0477,57,Medium,Gold,Kannur,1.15
C0478,18,Medium,Silver,Kozhikode,1.0
C0479,49,Medium,Gold,Kannur,1.15
C0480,23,Medium,Silver,Malappuram,1.0
C0481,31,Medium,Gold,Malappuram,1.15
C0482,56,Medium,Gold,Kozhikode,1.15
C0483,29,High,Gold,Kannur,1.5525
C0484,55,Medium,Bronze,Kochi,0.9
C0485,39,Low,Bronze,Malappuram,0.765
C0486,28,Medium,Bronze,Kozhikode,0.9
C0487,33,Medium,Silver,Malappuram,1.0
C0488,42,Low,Silver,Kozhikode,0.85
C0489,53,Low,Silver,Thrissur,0.85
C0490,46,Medium,Bronze,Kozhikode,0.9
C0491,61,Medium,Gold,Kochi,1.15
C0492,58,High,Gold,Kochi,1.5525
C0493,53,Low,Bronze,Thrissur,0.765
C0494,46,Low,Gold,Kozhikode,0.9774999999999999
C0495,31,Medium,Silver,Kozhikode,1.0
C0496,37,High,Silver,Thrissur,1.35
C0497,23,Medium,Bronze,Kozhikode,0.9
C0498,35,Low,Gold,Kozhikode,0.9774999999999999
C0499,61,Low,Platinum,Kozhikode,1.105
C0500,38,Medium,Gold,Kozhikode,1.15
C0501,23,Medium,Gold,Thrissur,1.15
C0502,48,Medium,Platinum,Malappuram,1.3
C0503,63,Low,Bronze,Kannur,0.765
C0504,58,Medium,Silver,Thrissur,1.0
C0505,30,High,Silver,Kochi,1.35
C0506,39,Medium,Platinum,Kozhikode,1.3
C0507,42,Medium,Bronze,Kozhikode,0.9
C0508,29,Low,Silver,Malappuram,0.85
C0509,30,Medium,Gold,Kozhikode,1.15
C0510,29,Medium,Bronze,Kannur,0.9
C0511,64,Medium,Gold,Kozhikode,1.15
C0512,53,High,Bronze,Malappuram,1.215
C0513,57,High,Platinum,Kochi,1.7550000000000001
C0514,56,High,Gold,Kannur,1.5525
C0515,63,High,Bronze,Kannur,1.215
C0516,22,High,Gold,Thrissur,1.5525
C0517,59,Low,Bronze,Kozhikode,0.765
C0518,21,Low,Silver,Kochi,0.85
C0519,40,Medium,Silver,Thrissur,1.0
C0520,45,Medium,Gold,Malappuram,1.15
C0521,34,Low,Bronze,Kannur,0.765
C0522,24,High,Bronze,Thrissur,1.215
C0523,27,Medium,Gold,Malappuram,1.15
C0524,56,Medium,Silver,Kannur,1.0
C0525,32,Low,Silver,Kannur,0.85
C0526,32,Medium,Bronze,Malappuram,0.9
C0527,61,Low,Bronze,Kochi,0.765
C0528,24,High,Gold,Kochi,1.5525
C0529,61,Medium,Bronze,Malappuram,0.9
C0530,61,Medium,Bronze,Malappuram,0.9
C0531,46,Medium,Platinum,Kochi,1.3
C0532,25,Medium,Bronze,Kochi,0.9
C0533,25,Medium,Gold,Thrissur,1.15
C0534,31,Medium,Bronze,Thrissur,0.9
C0535,45,Medium,Gold,Kochi,1.15
C0536,25,Low,Gold,Malappuram,0.9774999999999999
C0537,39,High,Gold,Kochi,1.5525
C0538,23,Low,Bronze,Thrissur,0.765
C0539,43,High,Silver,Kannur,1.35
C0540,18,Low,Gold,Kannur,0.9774999999999999
C0541,51,Medium,Bronze,Malappuram,0.9
C0542,20,High,Bronze,Thrissur,1.215
C0543,27,Low,Bronze,Kannur,0.765
C0544,26,Medium,Platinum,Thrissur,1.3
C0545,57,Medium,Gold,Malappuram,1.15
C0546,20,Low,Silver,Thrissur,0.85
C0547,38,Medium,Gold,Malappuram,1.15
C0548,45,High,Silver,Kannur,1.35
C0549,42,High,Silver,Malappuram,1.35
C0550,49,Medium,Silver,Kannur,1.0
C0551,55,Medium,Silver,Kochi,1.0
C0552,36,Low,Bronze,Kochi,0.765
C0553,56,Low,Gold,Kochi,0.9774999999999999
C0554,32,Low,Gold,Malappuram,0.9774999999999999
C0555,64,High,Bronze,Thrissur,1.215
C0556,41,High,Silver,Kozhikode,1.35
C0557,52,Medium,Bronze,Kochi,0.9
C0558,59,Medium,Platinum,Kannur,1.3
C0559,55,Medium,Gold,Thrissur,1.15
C0560,58,Medium,Platinum,Thrissur,1.3
C0561,43,Medium,Bronze,Malappuram,0.9
C0562,20,Medium,Bronze,Malappuram,0.9
C0563,41,Low,Bronze,Kochi,0.765
C0564,26,Low,Bronze,Kochi,0.765
C0565,59,High,Bronze,Kannur,1.215
C0566,29,Medium,Bronze,Kozhikode,0.9
C0567,28,High,Platinum,Thrissur,1.7550000000000001
C0568,29,Low,Bronze,Thrissur,0.765
C0569,48,Medium,Bronze,Kozhikode,0.9
C0570,44,Low,Gold,Kozhikode,0.9774999999999999
C0571,62,Medium,Silver,Thrissur,1.0
C0572,37,Low,Gold,Kochi,0.9774999999999999
C0573,31,Low,Silver,Malappuram,0.85
C0574,20,High,Gold,Kannur,1.5525
C0575,18,Medium,Silver,Thrissur,1.0
C0576,35,Medium,Silver,Thrissur,1.0
C0577,61,Medium,Gold,Kochi,1.15
