date,year,month,day,dayofweek,weekend,week_of_year,season,festival,festival_flag,festival_lift,rainfall_mm,temperature_c,weather
2025-01-26,2025,1,26,6,1,4,Winter,None,0,0.0,19.6,30.0,Normal
2025-01-27,2025,1,27,0,0,5,Winter,None,0,0.0,28.4,26.6,Normal
2025-01-28,2025,1,28,1,0,5,Winter,None,0,0.0,14.6,24.7,Normal
2025-01-29,2025,1,29,2,0,5,Winter,None,0,0.0,28.5,27.3,Normal
2025-01-30,2025,1,30,3,0,5,Winter,None,0,0.0,0.0,26.9,Normal
2025-01-31,2025,1,31,4,0,5,Winter,None,0,0.0,14.2,31.2,Normal
2025-02-01,2025,2,1,5,1,5,Winter,None,0,0.0,4.6,25.1,Normal
2025-02-02,2025,2,2,6,1,5,Winter,None,0,0.0,38.3,30.7,Normal
2025-02-03,2025,2,3,0,0,6,Winter,None,0,0.0,16.1,26.7,Normal
2025-02-04,2025,2,4,1,0,6,Winter,None,0,0.0,32.4,23.3,Normal
2025-02-05,2025,2,5,2,0,6,Winter,None,0,0.0,2.7,27.4,Normal
2025-02-06,2025,2,6,3,0,6,Winter,None,0,0.0,43.6,27.1,Normal
2025-02-07,2025,2,7,4,0,6,Winter,None,0,0.0,26.2,30.3,Normal
2025-02-08,2025,2,8,5,1,6,Winter,None,0,0.0,50.3,26.8,Normal
2025-02-09,2025,2,9,6,1,6,Winter,None,0,0.0,24.8,31.6,Normal
2025-02-10,2025,2,10,0,0,7,Winter,None,0,0.0,6.7,30.1,Normal
2025-02-11,2025,2,11,1,0,7,Winter,None,0,0.0,12.8,28.2,Normal
2025-02-12,2025,2,12,2,0,7,Winter,None,0,0.0,22.1,26.1,Normal
2025-02-13,2025,2,13,3,0,7,Winter,None,0,0.0,13.2,28.6,Normal
2025-02-14,2025,2,14,4,0,7,Winter,None,0,0.0,36.9,27.7,Normal
2025-02-15,2025,2,15,5,1,7,Winter,None,0,0.0,25.8,29.1,Normal
2025-02-16,2025,2,16,6,1,7,Winter,None,0,0.0,13.3,29.5,Normal
2025-02-17,2025,2,17,0,0,8,Winter,None,0,0.0,34.8,33.2,Hot
2025-02-18,2025,2,18,1,0,8,Winter,None,0,0.0,20.5,27.1,Normal
2025-02-19,2025,2,19,2,0,8,Winter,None,0,0.0,34.2,29.6,Normal
2025-02-20,2025,2,20,3,0,8,Winter,None,0,0.0,18.6,27.2,Normal
2025-02-21,2025,2,21,4,0,8,Winter,None,0,0.0,31.5,26.3,Normal
2025-02-22,2025,2,22,5,1,8,Winter,None,0,0.0,20.1,28.2,Normal
2025-02-23,2025,2,23,6,1,8,Winter,None,0,0.0,37.0,26.8,Normal
2025-02-24,2025,2,24,0,0,9,Winter,None,0,0.0,2.9,24.2,Normal
2025-02-25,2025,2,25,1,0,9,Winter,None,0,0.0,9.9,25.4,Normal
2025-02-26,2025,2,26,2,0,9,Winter,None,0,0.0,23.1,25.6,Normal
2025-02-27,2025,2,27,3,0,9,Winter,None,0,0.0,16.6,26.5,Normal
2025-02-28,2025,2,28,4,0,9,Winter,None,0,0.0,19.7,30.6,Normal
2025-03-01,2025,3,1,5,1,9,Summer,None,0,0.0,32.9,32.0,Normal
2025-03-02,2025,3,2,6,1,9,Summer,None,0,0.0,19.5,31.1,Normal
2025-03-03,2025,3,3,0,0,10,Summer,None,0,0.0,28.9,33.2,Hot
2025-03-04,2025,3,4,1,0,10,Summer,None,0,0.0,14.1,32.1,Hot
2025-03-05,2025,3,5,2,0,10,Summer,None,0,0.0,0.6,32.4,Hot
2025-03-06,2025,3,6,3,0,10,Summer,None,0,0.0,34.1,31.4,Normal
2025-03-07,2025,3,7,4,0,10,Summer,None,0,0.0,46.8,30.2,Normal
2025-03-08,2025,3,8,5,1,10,Summer,None,0,0.0,27.6,31.9,Normal
2025-03-09,2025,3,9,6,1,10,Summer,None,0,0.0,23.8,31.8,Normal
2025-03-10,2025,3,10,0,0,11,Summer,None,0,0.0,26.3,33.7,Hot
2025-03-11,2025,3,11,1,0,11,Summer,None,0,0.0,41.5,32.0,Normal
2025-03-12,2025,3,12,2,0,11,Summer,None,0,0.0,34.8,30.6,Normal
2025-03-13,2025,3,13,3,0,11,Summer,None,0,0.0,34.2,30.5,Normal
2025-03-14,2025,3,14,4,0,11,Summer,None,0,0.0,38.1,36.4,Hot
2025-03-15,2025,3,15,5,1,11,Summer,None,0,0.0,23.5,27.6,Normal
2025-03-16,2025,3,16,6,1,11,Summer,None,0,0.0,18.4,34.5,Hot
2025-03-17,2025,3,17,0,0,12,Summer,None,0,0.0,31.6,32.5,Hot
2025-03-18,2025,3,18,1,0,12,Summer,None,0,0.0,37.1,33.0,Hot
2025-03-19,2025,3,19,2,0,12,Summer,None,0,0.0,39.6,33.8,Hot
2025-03-20,2025,3,20,3,0,12,Summer,None,0,0.0,43.3,32.7,Hot
2025-03-21,2025,3,21,4,0,12,Summer,None,0,0.0,35.9,31.4,Normal
2025-03-22,2025,3,22,5,1,12,Summer,None,0,0.0,17.8,35.4,Hot
2025-03-23,2025,3,23,6,1,12,Summer,None,0,0.0,27.6,33.6,Hot
2025-03-24,2025,3,24,0,0,13,Summer,None,0,0.0,26.5,30.8,Normal
2025-03-25,2025,3,25,1,0,13,Summer,None,0,0.0,25.1,34.9,Hot
2025-03-26,2025,3,26,2,0,13,Summer,None,0,0.0,31.7,28.6,Normal
2025-03-27,2025,3,27,3,0,13,Summer,None,0,0.0,22.4,35.6,Hot
2025-03-28,2025,3,28,4,0,13,Summer,None,0,0.0,22.4,28.4,Normal
2025-03-29,2025,3,29,5,1,13,Summer,None,0,0.0,47.7,33.4,Hot
2025-03-30,2025,3,30,6,1,13,Summer,None,0,0.0,24.2,31.3,Normal
2025-03-31,2025,3,31,0,0,14,Summer,None,0,0.0,38.0,30.9,Normal
2025-04-01,2025,4,1,1,0,14,Summer,None,0,0.0,38.8,33.1,Hot
2025-04-02,2025,4,2,2,0,14,Summer,None,0,0.0,27.9,32.3,Hot
2025-04-03,2025,4,3,3,0,14,Summer,None,0,0.0,22.9,34.1,Hot
2025-04-04,2025,4,4,4,0,14,Summer,None,0,0.0,14.6,28.8,Normal
2025-04-05,2025,4,5,5,1,14,Summer,None,0,0.0,32.4,33.3,Hot
2025-04-06,2025,4,6,6,1,14,Summer,None,0,0.0,30.8,32.8,Hot
2025-04-07,2025,4,7,0,0,15,Summer,None,0,0.0,21.2,33.6,Hot
2025-04-08,2025,4,8,1,0,15,Summer,None,0,0.0,24.5,31.0,Normal
2025-04-09,2025,4,9,2,0,15,Summer,None,0,0.0,21.3,36.0,Hot
2025-04-10,2025,4,10,3,0,15,Summer,None,0,0.0,4.2,33.0,Hot
2025-04-11,2025,4,11,4,0,15,Summer,None,0,0.0,4.9,31.8,Normal
2025-04-12,2025,4,12,5,1,15,Summer,Vishu,1,0.35,19.8,27.8,Normal
2025-04-13,2025,4,13,6,1,15,Summer,Vishu,1,0.35,29.7,31.2,Normal
2025-04-14,2025,4,14,0,0,16,Summer,Vishu,1,0.35,0.0,33.7,Hot
2025-04-15,2025,4,15,1,0,16,Summer,Vishu,1,0.35,42.2,35.0,Hot
2025-04-16,2025,4,16,2,0,16,Summer,Vishu,1,0.35,29.3,32.1,Hot
2025-04-17,2025,4,17,3,0,16,Summer,None,0,0.0,40.9,35.4,Hot
2025-04-18,2025,4,18,4,0,16,Summer,None,0,0.0,38.6,30.1,Normal
2025-04-19,2025,4,19,5,1,16,Summer,None,0,0.0,27.4,32.9,Hot
2025-04-20,2025,4,20,6,1,16,Summer,None,0,0.0,3.3,32.9,Hot
2025-04-21,2025,4,21,0,0,17,Summer,None,0,0.0,52.3,33.3,Hot
2025-04-22,2025,4,22,1,0,17,Summer,None,0,0.0,42.7,32.4,Hot
2025-04-23,2025,4,23,2,0,17,Summer,None,0,0.0,24.1,32.8,Hot
2025-04-24,2025,4,24,3,0,17,Summer,None,0,0.0,15.2,30.1,Normal
2025-04-25,2025,4,25,4,0,17,Summer,None,0,0.0,40.2,34.7,Hot
2025-04-26,2025,4,26,5,1,17,Summer,None,0,0.0,13.1,33.9,Hot
2025-04-27,2025,4,27,6,1,17,Summer,None,0,0.0,24.0,32.7,Hot
2025-04-28,2025,4,28,0,0,18,Summer,None,0,0.0,30.5,34.0,Hot
2025-04-29,2025,4,29,1,0,18,Summer,None,0,0.0,26.0,34.8,Hot
2025-04-30,2025,4,30,2,0,18,Summer,None,0,0.0,28.7,33.2,Hot
2025-05-01,2025,5,1,3,0,18,Summer,None,0,0.0,15.0,36.3,Hot
2025-05-02,2025,5,2,4,0,18,Summer,None,0,0.0,30.6,33.4,Hot
2025-05-03,2025,5,3,5,1,18,Summer,None,0,0.0,5.7,30.4,Normal
2025-05-04,2025,5,4,6,1,18,Summer,None,0,0.0,39.9,32.6,Hot
2025-05-05,2025,5,5,0,0,19,Summer,None,0,0.0,2.0,34.1,Hot
2025-05-06,2025,5,6,1,0,19,Summer,None,0,0.0,18.5,34.8,Hot
2025-05-07,2025,5,7,2,0,19,Summer,None,0,0.0,23.9,32.4,Hot
2025-05-08,2025,5,8,3,0,19,Summer,None,0,0.0,39.1,30.2,Normal
2025-05-09,2025,5,9,4,0,19,Summer,None,0,0.0,13.1,31.6,Normal
2025-05-10,2025,5,10,5,1,19,Summer,None,0,0.0,34.9,29.3,Normal
2025-05-11,2025,5,11,6,1,19,Summer,None,0,0.0,5.0,33.6,Hot
2025-05-12,2025,5,12,0,0,20,Summer,None,0,0.0,17.8,31.2,Normal
2025-05-13,2025,5,13,1,0,20,Summer,None,0,0.0,2.7,30.6,Normal
2025-05-14,2025,5,14,2,0,20,Summer,None,0,0.0,24.9,33.9,Hot
2025-05-15,2025,5,15,3,0,20,Summer,None,0,0.0,15.7,35.3,Hot
2025-05-16,2025,5,16,4,0,20,Summer,None,0,0.0,16.8,30.6,Normal
2025-05-17,2025,5,17,5,1,20,Summer,None,0,0.0,43.4,32.4,Hot
2025-05-18,2025,5,18,6,1,20,Summer,None,0,0.0,18.4,31.7,Normal
2025-05-19,2025,5,19,0,0,21,Summer,None,0,0.0,41.2,34.9,Hot
2025-05-20,2025,5,20,1,0,21,Summer,None,0,0.0,15.2,31.9,Normal
2025-05-21,2025,5,21,2,0,21,Summer,None,0,0.0,26.1,30.0,Normal
2025-05-22,2025,5,22,3,0,21,Summer,None,0,0.0,24.3,32.0,Normal
2025-05-23,2025,5,23,4,0,21,Summer,None,0,0.0,38.7,34.4,Hot
2025-05-24,2025,5,24,5,1,21,Summer,None,0,0.0,21.0,31.6,Normal
2025-05-25,2025,5,25,6,1,21,Summer,None,0,0.0,33.0,30.8,Normal
2025-05-26,2025,5,26,0,0,22,Summer,None,0,0.0,32.1,31.8,Normal
2025-05-27,2025,5,27,1,0,22,Summer,None,0,0.0,13.4,30.1,Normal
2025-05-28,2025,5,28,2,0,22,Summer,None,0,0.0,42.4,31.7,Normal
2025-05-29,2025,5,29,3,0,22,Summer,None,0,0.0,44.7,31.0,Normal
2025-05-30,2025,5,30,4,0,22,Summer,None,0,0.0,28.5,36.8,Hot
2025-05-31,2025,5,31,5,1,22,Summer,None,0,0.0,12.3,28.2,Normal
2025-06-01,2025,6,1,6,1,22,Monsoon,None,0,0.0,107.2,26.3,Heavy Rain
2025-06-02,2025,6,2,0,0,23,Monsoon,None,0,0.0,74.5,26.8,Rain
2025-06-03,2025,6,3,1,0,23,Monsoon,None,0,0.0,81.7,26.1,Rain
2025-06-04,2025,6,4,2,0,23,Monsoon,None,0,0.0,70.5,28.9,Rain
2025-06-05,2025,6,5,3,0,23,Monsoon,None,0,0.0,49.8,26.6,Normal
2025-06-06,2025,6,6,4,0,23,Monsoon,None,0,0.0,66.3,25.1,Rain
2025-06-07,2025,6,7,5,1,23,Monsoon,None,0,0.0,64.4,28.2,Rain
2025-06-08,2025,6,8,6,1,23,Monsoon,None,0,0.0,65.0,27.5,Rain
2025-06-09,2025,6,9,0,0,24,Monsoon,None,0,0.0,74.5,26.7,Rain
2025-06-10,2025,6,10,1,0,24,Monsoon,None,0,0.0,92.3,30.9,Heavy Rain
2025-06-11,2025,6,11,2,0,24,Monsoon,None,0,0.0,63.4,29.0,Rain
2025-06-12,2025,6,12,3,0,24,Monsoon,None,0,0.0,69.0,28.7,Rain
2025-06-13,2025,6,13,4,0,24,Monsoon,None,0,0.0,114.1,29.0,Heavy Rain
2025-06-14,2025,6,14,5,1,24,Monsoon,None,0,0.0,30.7,28.9,Normal
2025-06-15,2025,6,15,6,1,24,Monsoon,None,0,0.0,105.8,27.6,Heavy Rain
2025-06-16,2025,6,16,0,0,25,Monsoon,None,0,0.0,99.9,26.6,Heavy Rain
2025-06-17,2025,6,17,1,0,25,Monsoon,None,0,0.0,37.9,28.3,Normal
2025-06-18,2025,6,18,2,0,25,Monsoon,None,0,0.0,31.1,27.5,Normal
2025-06-19,2025,6,19,3,0,25,Monsoon,None,0,0.0,107.2,24.2,Heavy Rain
2025-06-20,2025,6,20,4,0,25,Monsoon,None,0,0.0,43.0,25.9,Normal
2025-06-21,2025,6,21,5,1,25,Monsoon,None,0,0.0,73.4,27.3,Rain
2025-06-22,2025,6,22,6,1,25,Monsoon,None,0,0.0,110.0,29.9,Heavy Rain
2025-06-23,2025,6,23,0,0,26,Monsoon,None,0,0.0,87.4,28.3,Rain
2025-06-24,2025,6,24,1,0,26,Monsoon,None,0,0.0,84.8,26.3,Rain
2025-06-25,2025,6,25,2,0,26,Monsoon,None,0,0.0,96.4,25.8,Heavy Rain
2025-06-26,2025,6,26,3,0,26,Monsoon,None,0,0.0,95.9,30.4,Heavy Rain
2025-06-27,2025,6,27,4,0,26,Monsoon,None,0,0.0,80.3,27.6,Rain
2025-06-28,2025,6,28,5,1,26,Monsoon,None,0,0.0,85.0,22.3,Rain
2025-06-29,2025,6,29,6,1,26,Monsoon,None,0,0.0,82.6,27.8,Rain
2025-06-30,2025,6,30,0,0,27,Monsoon,None,0,0.0,73.7,29.4,Rain
2025-07-01,2025,7,1,1,0,27,Monsoon,None,0,0.0,73.1,25.7,Rain
2025-07-02,2025,7,2,2,0,27,Monsoon,None,0,0.0,71.5,28.1,Rain
2025-07-03,2025,7,3,3,0,27,Monsoon,None,0,0.0,77.9,28.3,Rain
2025-07-04,2025,7,4,4,0,27,Monsoon,None,0,0.0,101.0,25.8,Heavy Rain
2025-07-05,2025,7,5,5,1,27,Monsoon,None,0,0.0,79.4,30.6,Rain
2025-07-06,2025,7,6,6,1,27,Monsoon,None,0,0.0,31.6,28.4,Normal
2025-07-07,2025,7,7,0,0,28,Monsoon,None,0,0.0,60.4,27.3,Rain
2025-07-08,2025,7,8,1,0,28,Monsoon,None,0,0.0,52.4,27.7,Normal
2025-07-09,2025,7,9,2,0,28,Monsoon,None,0,0.0,121.0,25.5,Heavy Rain
2025-07-10,2025,7,10,3,0,28,Monsoon,None,0,0.0,45.8,25.4,Normal
2025-07-11,2025,7,11,4,0,28,Monsoon,None,0,0.0,118.2,27.1,Heavy Rain
2025-07-12,2025,7,12,5,1,28,Monsoon,None,0,0.0,74.4,27.2,Rain
2025-07-13,2025,7,13,6,1,28,Monsoon,None,0,0.0,51.4,27.5,Normal
2025-07-14,2025,7,14,0,0,29,Monsoon,None,0,0.0,136.5,30.8,Heavy Rain
2025-07-15,2025,7,15,1,0,29,Monsoon,None,0,0.0,53.7,29.3,Normal
2025-07-16,2025,7,16,2,0,29,Monsoon,None,0,0.0,54.2,24.4,Normal
2025-07-17,2025,7,17,3,0,29,Monsoon,None,0,0.0,100.5,30.3,Heavy Rain
2025-07-18,2025,7,18,4,0,29,Monsoon,None,0,0.0,101.2,27.1,Heavy Rain
2025-07-19,2025,7,19,5,1,29,Monsoon,None,0,0.0,70.8,29.5,Rain
2025-07-20,2025,7,20,6,1,29,Monsoon,None,0,0.0,84.8,27.2,Rain
2025-07-21,2025,7,21,0,0,30,Monsoon,None,0,0.0,34.5,28.2,Normal
2025-07-22,2025,7,22,1,0,30,Monsoon,None,0,0.0,102.0,25.6,Heavy Rain
2025-07-23,2025,7,23,2,0,30,Monsoon,None,0,0.0,91.0,28.7,Heavy Rain
2025-07-24,2025,7,24,3,0,30,Monsoon,None,0,0.0,93.8,29.7,Heavy Rain
2025-07-25,2025,7,25,4,0,30,Monsoon,None,0,0.0,57.6,24.8,Rain
2025-07-26,2025,7,26,5,1,30,Monsoon,None,0,0.0,61.7,29.8,Rain
2025-07-27,2025,7,27,6,1,30,Monsoon,None,0,0.0,61.4,26.6,Rain
2025-07-28,2025,7,28,0,0,31,Monsoon,None,0,0.0,29.5,31.5,Normal
2025-07-29,2025,7,29,1,0,31,Monsoon,None,0,0.0,95.6,29.5,Heavy Rain
2025-07-30,2025,7,30,2,0,31,Monsoon,None,0,0.0,99.2,29.2,Heavy Rain
2025-07-31,2025,7,31,3,0,31,Monsoon,None,0,0.0,68.9,27.7,Rain
2025-08-01,2025,8,1,4,0,31,Monsoon,None,0,0.0,64.3,33.3,Rain
2025-08-02,2025,8,2,5,1,31,Monsoon,None,0,0.0,88.9,27.1,Rain
2025-08-03,2025,8,3,6,1,31,Monsoon,None,0,0.0,86.6,26.0,Rain
2025-08-04,2025,8,4,0,0,32,Monsoon,None,0,0.0,112.6,26.7,Heavy Rain
2025-08-05,2025,8,5,1,0,32,Monsoon,None,0,0.0,87.5,30.1,Rain
2025-08-06,2025,8,6,2,0,32,Monsoon,None,0,0.0,84.6,28.2,Rain
2025-08-07,2025,8,7,3,0,32,Monsoon,None,0,0.0,75.3,27.9,Rain
2025-08-08,2025,8,8,4,0,32,Monsoon,None,0,0.0,60.6,27.1,Rain
2025-08-09,2025,8,9,5,1,32,Monsoon,None,0,0.0,112.0,27.8,Heavy Rain
2025-08-10,2025,8,10,6,1,32,Monsoon,None,0,0.0,55.4,27.0,Rain
2025-08-11,2025,8,11,0,0,33,Monsoon,None,0,0.0,102.5,29.4,Heavy Rain
2025-08-12,2025,8,12,1,0,33,Monsoon,None,0,0.0,89.0,27.5,Rain
2025-08-13,2025,8,13,2,0,33,Monsoon,None,0,0.0,89.3,26.7,Rain
2025-08-14,2025,8,14,3,0,33,Monsoon,None,0,0.0,68.5,29.9,Rain
2025-08-15,2025,8,15,4,0,33,Monsoon,None,0,0.0,96.9,26.0,Heavy Rain
2025-08-16,2025,8,16,5,1,33,Monsoon,None,0,0.0,53.6,28.2,Normal
2025-08-17,2025,8,17,6,1,33,Monsoon,None,0,0.0,118.2,24.2,Heavy Rain
2025-08-18,2025,8,18,0,0,34,Monsoon,None,0,0.0,82.0,25.2,Rain
2025-08-19,2025,8,19,1,0,34,Monsoon,None,0,0.0,59.1,27.3,Rain
2025-08-20,2025,8,20,2,0,34,Monsoon,None,0,0.0,64.5,26.9,Rain
2025-08-21,2025,8,21,3,0,34,Monsoon,None,0,0.0,75.2,26.9,Rain
2025-08-22,2025,8,22,4,0,34,Monsoon,None,0,0.0,38.4,29.6,Normal
2025-08-23,2025,8,23,5,1,34,Monsoon,None,0,0.0,93.8,29.7,Heavy Rain
2025-08-24,2025,8,24,6,1,34,Monsoon,None,0,0.0,36.5,28.6,Normal
2025-08-25,2025,8,25,0,0,35,Monsoon,None,0,0.0,91.9,25.9,Heavy Rain
2025-08-26,2025,8,26,1,0,35,Monsoon,None,0,0.0,75.2,27.8,Rain
2025-08-27,2025,8,27,2,0,35,Monsoon,None,0,0.0,121.1,31.8,Heavy Rain
2025-08-28,2025,8,28,3,0,35,Monsoon,Onam,1,0.7,33.4,33.0,Hot
2025-08-29,2025,8,29,4,0,35,Monsoon,Onam,1,0.7,52.1,30.0,Normal
2025-08-30,2025,8,30,5,1,35,Monsoon,Onam,1,0.7,99.3,26.0,Heavy Rain
2025-08-31,2025,8,31,6,1,35,Monsoon,Onam,1,0.7,87.3,27.8,Rain
2025-09-01,2025,9,1,0,0,36,Monsoon,Onam,1,0.7,88.9,28.5,Rain
2025-09-02,2025,9,2,1,0,36,Monsoon,Onam,1,0.7,104.9,28.2,Heavy Rain
2025-09-03,2025,9,3,2,0,36,Monsoon,Onam,1,0.7,70.8,30.2,Rain
2025-09-04,2025,9,4,3,0,36,Monsoon,Onam,1,0.7,89.5,29.5,Rain
2025-09-05,2025,9,5,4,0,36,Monsoon,Onam,1,0.7,58.4,25.9,Rain
2025-09-06,2025,9,6,5,1,36,Monsoon,Onam,1,0.7,60.8,26.8,Rain
2025-09-07,2025,9,7,6,1,36,Monsoon,Onam,1,0.7,94.7,30.0,Heavy Rain
2025-09-08,2025,9,8,0,0,37,Monsoon,None,0,0.0,71.1,30.9,Rain
2025-09-09,2025,9,9,1,0,37,Monsoon,None,0,0.0,109.2,28.5,Heavy Rain
2025-09-10,2025,9,10,2,0,37,Monsoon,None,0,0.0,54.5,31.2,Normal
2025-09-11,2025,9,11,3,0,37,Monsoon,None,0,0.0,73.5,28.3,Rain
2025-09-12,2025,9,12,4,0,37,Monsoon,None,0,0.0,66.5,26.2,Rain
2025-09-13,2025,9,13,5,1,37,Monsoon,None,0,0.0,38.3,29.3,Normal
2025-09-14,2025,9,14,6,1,37,Monsoon,None,0,0.0,55.4,34.1,Rain
2025-09-15,2025,9,15,0,0,38,Monsoon,None,0,0.0,47.8,25.5,Normal
2025-09-16,2025,9,16,1,0,38,Monsoon,None,0,0.0,87.8,31.1,Rain
2025-09-17,2025,9,17,2,0,38,Monsoon,None,0,0.0,76.6,29.1,Rain
2025-09-18,2025,9,18,3,0,38,Monsoon,None,0,0.0,28.9,26.6,Normal
2025-09-19,2025,9,19,4,0,38,Monsoon,None,0,0.0,48.2,24.2,Normal
2025-09-20,2025,9,20,5,1,38,Monsoon,None,0,0.0,77.9,23.5,Rain
2025-09-21,2025,9,21,6,1,38,Monsoon,None,0,0.0,41.9,26.9,Normal
2025-09-22,2025,9,22,0,0,39,Monsoon,None,0,0.0,54.2,28.8,Normal
2025-09-23,2025,9,23,1,0,39,Monsoon,None,0,0.0,82.6,29.8,Rain
2025-09-24,2025,9,24,2,0,39,Monsoon,None,0,0.0,93.8,30.3,Heavy Rain
2025-09-25,2025,9,25,3,0,39,Monsoon,None,0,0.0,75.0,28.6,Rain
2025-09-26,2025,9,26,4,0,39,Monsoon,None,0,0.0,87.8,28.3,Rain
2025-09-27,2025,9,27,5,1,39,Monsoon,None,0,0.0,65.1,27.3,Rain
2025-09-28,2025,9,28,6,1,39,Monsoon,None,0,0.0,54.6,28.8,Normal
2025-09-29,2025,9,29,0,0,40,Monsoon,None,0,0.0,72.6,26.7,Rain
2025-09-30,2025,9,30,1,0,40,Monsoon,None,0,0.0,58.4,25.6,Rain
2025-10-01,2025,10,1,2,0,40,Festive,None,0,0.0,36.7,28.2,Normal
2025-10-02,2025,10,2,3,0,40,Festive,None,0,0.0,14.6,29.6,Normal
2025-10-03,2025,10,3,4,0,40,Festive,None,0,0.0,18.3,25.2,Normal
2025-10-04,2025,10,4,5,1,40,Festive,None,0,0.0,37.3,26.9,Normal
2025-10-05,2025,10,5,6,1,40,Festive,None,0,0.0,20.1,28.1,Normal
2025-10-06,2025,10,6,0,0,41,Festive,None,0,0.0,38.7,28.0,Normal
2025-10-07,2025,10,7,1,0,41,Festive,None,0,0.0,10.6,29.1,Normal
2025-10-08,2025,10,8,2,0,41,Festive,None,0,0.0,19.2,31.8,Normal
2025-10-09,2025,10,9,3,0,41,Festive,None,0,0.0,25.0,23.5,Normal
2025-10-10,2025,10,10,4,0,41,Festive,None,0,0.0,29.3,31.9,Normal
2025-10-11,2025,10,11,5,1,41,Festive,None,0,0.0,43.9,31.7,Normal
2025-10-12,2025,10,12,6,1,41,Festive,None,0,0.0,12.8,29.8,Normal
2025-10-13,2025,10,13,0,0,42,Festive,None,0,0.0,16.3,28.4,Normal
2025-10-14,2025,10,14,1,0,42,Festive,None,0,0.0,9.7,26.7,Normal
2025-10-15,2025,10,15,2,0,42,Festive,None,0,0.0,16.9,29.8,Normal
2025-10-16,2025,10,16,3,0,42,Festive,Diwali,1,0.55,34.6,28.6,Normal
2025-10-17,2025,10,17,4,0,42,Festive,Diwali,1,0.55,8.8,27.4,Normal
2025-10-18,2025,10,18,5,1,42,Festive,Diwali,1,0.55,16.0,29.7,Normal
2025-10-19,2025,10,19,6,1,42,Festive,Diwali,1,0.55,39.1,30.1,Normal
2025-10-20,2025,10,20,0,0,43,Festive,Diwali,1,0.55,15.9,22.5,Normal
2025-10-21,2025,10,21,1,0,43,Festive,Diwali,1,0.55,3.8,30.8,Normal
2025-10-22,2025,10,22,2,0,43,Festive,Diwali,1,0.55,20.2,26.5,Normal
2025-10-23,2025,10,23,3,0,43,Festive,None,0,0.0,44.7,30.5,Normal
2025-10-24,2025,10,24,4,0,43,Festive,None,0,0.0,25.3,27.4,Normal
2025-10-25,2025,10,25,5,1,43,Festive,None,0,0.0,23.4,28.5,Normal
2025-10-26,2025,10,26,6,1,43,Festive,None,0,0.0,44.2,28.8,Normal
2025-10-27,2025,10,27,0,0,44,Festive,None,0,0.0,33.7,30.3,Normal
2025-10-28,2025,10,28,1,0,44,Festive,None,0,0.0,11.0,29.5,Normal
2025-10-29,2025,10,29,2,0,44,Festive,None,0,0.0,21.5,23.0,Normal
2025-10-30,2025,10,30,3,0,44,Festive,None,0,0.0,0.0,26.0,Normal
2025-10-31,2025,10,31,4,0,44,Festive,None,0,0.0,31.4,28.2,Normal
2025-11-01,2025,11,1,5,1,44,Festive,None,0,0.0,27.2,31.9,Normal
